,C - Subgroups of domestic cereals and pulses,
,,TaxaCode
1,Broomcorn millet,PANIMIL+PANISPE
2,Foxtail millet,SETAITA
3,Hulled barley,HORDSRT + HORSHUL + HORSHUS
4,Naked barley,HORDDIN + HORSNAK + HORSNAS
5,Free Threshing wheat,TRIACO + TRIAEST + TRITCOM + TRITDUR + TRITFTW + TRITWH + TRIAETU + TRIANPA + TRITDUT + TRITPAR + TRIFTWT + TRITSPH
6,Glume wheat ,TRITDIC + TRITDIO + TRITMON + TRITMOT + TRITMOD + TRITNGW + TRITTIM + TRITGLW + TRDINGW + TRIDISP + TRIDITI + TRIMODI + TRMODIS + TRMODIT + TRITMGW + TRITMOTI + TRITSPL
7,Lentil,LENSCUL+LENSSPE+LENSVIC
8,Pea,PISUSAA+PISUSAT+PISUSPE
9,Vetches,VICIERV + VICIFAB + VICISAT + VICSYFA
